Date,HGHT(m),TEMP(C)
 2016-11-06,     11920,     -56.7
 2016-11-06,     12343,     -59.6
 2016-11-06,     12411,     -60.1
 2016-11-06,     12549,     -54.7
 2016-11-06,     12690,     -55.7
 2016-11-06,     13327,     -60.4
 2016-11-06,     13527,     -61.9
 2016-11-06,     13730,     -61.9
 2016-11-06,     14329,     -64.4
 2016-11-06,     14844,     -66.5
 2016-11-06,     14893,     -66.3
 2016-11-06,     15299,     -64.5
 2016-11-06,     15512,     -63.5
 2016-11-06,     15904,     -65.9
 2016-11-06,     16200,     -67.7
 2016-11-06,     16261,     -67.9
 2016-11-06,     16764,     -67.1
 2016-11-06,     17069,     -66.7
 2016-11-06,     17374,     -66.2
 2016-11-06,     17983,     -65.3
 2016-11-06,     18288,     -64.8
 2016-11-06,     18370,     -64.7
 2016-11-07,       595,      22.4
 2016-11-07,       612,      20.8
 2016-11-07,       723,        19
 2016-11-07,       798,      18.6
 2016-11-07,       909,      17.4
 2016-11-07,      1080,      15.7
 2016-11-07,      1322,      13.2
 2016-11-07,      1431,      12.1
 2016-11-07,      1441,        12
 2016-11-07,      1529,      11.2
 2016-11-07,      2249,       4.6
 2016-11-07,      2593,         2
 2016-11-07,      2792,         1
 2016-11-07,      3030,      -0.1
 2016-11-07,      3122,      -0.9
 2016-11-07,      3892,      -4.9
 2016-11-07,      4094,      -6.1
 2016-11-07,      4210,      -6.5
 2016-11-07,      4501,      -7.5
 2016-11-07,      4841,     -10.3
 2016-11-07,      5163,     -12.6
 2016-11-07,      5650,     -16.1
 2016-11-07,      6254,     -21.3
 2016-11-07,      6795,     -25.7
 2016-11-07,      6982,     -27.5
 2016-11-07,      7000,     -27.5
 2016-11-07,      7034,     -27.7
 2016-11-07,      7069,     -27.7
 2016-11-07,      7156,     -28.5
 2016-11-07,      7280,     -29.3
 2016-11-07,      8023,     -34.3
 2016-11-07,      8177,     -35.5
 2016-11-07,      9112,     -42.7
 2016-11-07,      9270,     -43.9
 2016-11-07,     10470,     -53.1
 2016-11-07,     10650,     -54.7
 2016-11-07,     11167,     -59.3
 2016-11-07,     11279,     -60.3
 2016-11-07,     11512,     -57.9
 2016-11-07,     11693,     -56.1
 2016-11-07,     11880,     -56.9
 2016-11-07,     12235,     -58.6
 2016-11-07,     12575,     -60.3
 2016-11-07,     13009,     -59.3
 2016-11-07,     13276,     -58.7
 2016-11-07,     13680,     -58.9
 2016-11-07,     14431,     -60.2
 2016-11-07,     14719,     -60.7
 2016-11-07,     15338,     -61.8
 2016-11-07,     15672,     -62.4
 2016-11-07,     15965,     -62.9
 2016-11-07,     16210,     -63.3
 2016-11-07,     16764,     -62.9
 2016-11-07,     17678,     -62.1
 2016-11-07,     18288,     -61.6
 2016-11-07,     18410,     -61.5
 2016-11-07,     19202,     -67.3
 2016-11-07,     19227,     -67.5
 2016-11-07,     19812,     -66.3
 2016-11-07,     20458,     -64.9
 2016-11-07,     20470,     -64.9
 2016-11-07,     21031,     -64.3
 2016-11-07,     21336,     -63.9
 2016-11-07,     21641,     -63.6
 2016-11-07,     21946,     -63.2
 2016-11-07,     22250,     -62.9
 2016-11-07,     22555,     -62.5
 2016-11-07,     22860,     -62.2
 2016-11-07,     23165,     -61.8
 2016-11-07,     23470,     -61.5
 2016-11-07,     23630,     -61.3
 2016-11-08,       595,      13.8
 2016-11-08,       655,      12.7
 2016-11-08,       673,      12.4
 2016-11-08,       690,      12.6
 2016-11-08,       763,      13.2
 2016-11-08,       846,      13.8
 2016-11-08,       912,      13.3
 2016-11-08,      1148,      11.4
 2016-11-08,      1177,      11.2
 2016-11-08,      1264,      11.4
 2016-11-08,      1293,      12.8
 2016-11-08,      1401,      11.2
 2016-11-08,      1480,      10.1
 2016-11-08,      1530,       9.4
 2016-11-08,      2018,       5.8
 2016-11-08,      2376,       3.7
 2016-11-08,      2990,         0
 2016-11-08,      3435,      -2.7
 2016-11-08,      4014,      -8.1
 2016-11-08,      4245,      -9.1
 2016-11-08,      4336,        -9
 2016-11-08,      4415,      -8.9
 2016-11-08,      4535,      -9.7
 2016-11-08,      5331,     -14.9
 2016-11-08,      5600,     -16.7
 2016-11-08,      5844,     -18.3
 2016-11-08,      6480,     -23.1
 2016-11-08,      6820,     -25.7
 2016-11-08,      6906,     -26.5
 2016-11-08,      6940,     -26.9
 2016-11-08,      7080,     -27.7
 2016-11-08,      7240,     -28.7
 2016-11-08,      7493,     -30.3
 2016-11-08,      7717,     -31.7
 2016-11-08,      8380,     -37.1
 2016-11-08,      8483,     -37.9
 2016-11-08,      9185,     -44.5
 2016-11-08,      9230,     -44.9
 2016-11-08,      9275,     -45.3
 2016-11-08,     10430,     -52.3
 2016-11-08,     10456,     -52.5
 2016-11-08,     10693,     -54.1
 2016-11-08,     10720,     -54.3
 2016-11-08,     10938,     -56.1
 2016-11-08,     10993,     -56.3
 2016-11-08,     11077,     -56.7
 2016-11-08,     11541,     -57.4
 2016-11-08,     11850,     -57.9
 2016-11-08,     12075,     -57.5
 2016-11-08,     12513,       -58
 2016-11-08,     13660,     -59.5
 2016-11-08,     14181,     -60.4
 2016-11-08,     14365,     -60.7
 2016-11-08,     14460,       -60
 2016-11-08,     14904,     -56.5
 2016-11-08,     15164,     -57.8
 2016-11-08,     16200,     -63.1
 2016-11-08,     16377,     -64.1
 2016-11-08,     16963,     -63.3
 2016-11-08,     17374,     -62.7
 2016-11-08,     17983,     -61.9
 2016-11-08,     18288,     -61.5
 2016-11-08,     18430,     -61.3
 2016-11-08,     18593,     -61.8
 2016-11-08,     19202,     -63.7
 2016-11-08,     19507,     -64.6
 2016-11-08,     19799,     -65.5
 2016-11-08,     19812,     -65.5
 2016-11-08,     20117,     -64.8
 2016-11-08,     20422,     -64.1
 2016-11-08,     20490,     -63.9
 2016-11-09,       595,        14
 2016-11-09,       671,      13.2
 2016-11-09,       771,      12.3
 2016-11-09,       853,      11.6
 2016-11-09,      1375,       6.8
 2016-11-09,      1550,       5.1
 2016-11-09,      1679,       3.8
 2016-11-09,      1689,       3.7
 2016-11-09,      2001,         2
 2016-11-09,      2325,       0.2
 2016-11-09,      2411,      -0.3
 2016-11-09,      2940,      -2.7
 2016-11-09,      3617,      -6.1
 2016-11-09,      4134,      -8.8
 2016-11-09,      4399,     -10.1
 2016-11-09,      5026,     -14.3
 2016-11-09,      5540,     -17.7
 2016-11-09,      5906,     -20.5
 2016-11-09,      6838,     -27.5
 2016-11-09,      7170,     -30.3
 2016-11-09,      8443,     -41.3
 2016-11-09,      8966,     -46.3
 2016-11-09,      9074,     -47.3
 2016-11-09,      9140,     -47.7
 2016-11-09,      9684,     -52.9
 2016-11-09,      9826,     -53.7
 2016-11-09,     10019,     -54.5
 2016-11-09,     10117,     -53.5
 2016-11-09,     10294,     -53.1
 2016-11-09,     10320,     -53.1
 2016-11-09,     11299,     -49.2
 2016-11-09,     11329,     -49.1
 2016-11-09,     11770,     -51.3
 2016-11-09,     11835,     -51.7
 2016-11-09,     12591,     -55.9
 2016-11-09,     12925,     -56.1
 2016-11-09,     13277,     -56.3
 2016-11-09,     13317,     -55.5
 2016-11-09,     13441,     -52.9
 2016-11-09,     13610,     -53.7
 2016-11-09,     13653,     -53.8
 2016-11-09,     14328,     -55.3
 2016-11-09,     14472,     -55.6
 2016-11-09,     14977,     -56.8
 2016-11-09,     16190,     -59.5
 2016-11-09,     16555,     -61.3
 2016-11-09,     17069,     -60.1
 2016-11-09,     17983,     -58.1
 2016-11-09,     18420,     -57.1
 2016-11-09,     18898,     -59.5
 2016-11-09,     19648,     -63.3
 2016-11-09,     19812,     -63.1
 2016-11-09,     20422,     -62.6
 2016-11-09,     20510,     -62.5
 2016-11-10,       595,       7.6
 2016-11-10,       747,       5.6
 2016-11-10,       863,       4.8
 2016-11-10,       926,         6
 2016-11-10,      1182,       4.7
 2016-11-10,      1361,       3.8
 2016-11-10,      1437,       3.2
 2016-11-10,      1714,       0.8
 2016-11-10,      2269,      -4.1
 2016-11-10,      2331,      -2.3
 2016-11-10,      2362,      -2.5
 2016-11-10,      2933,      -6.2
 2016-11-10,      2978,      -6.5
 2016-11-10,      3354,      -9.5
 2016-11-10,      3744,     -11.7
 2016-11-10,      3916,     -12.7
 2016-11-10,      3953,     -12.5
 2016-11-10,      4432,     -16.4
 2016-11-10,      4874,     -20.1
 2016-11-10,      5520,     -25.5
 2016-11-10,      5769,     -27.7
 2016-11-10,      7090,     -38.1
 2016-11-10,      7159,     -38.6
 2016-11-10,      7353,     -40.1
 2016-11-10,      7551,       -41
 2016-11-10,      7606,     -41.3
 2016-11-10,      8058,     -43.2
 2016-11-10,      8357,     -44.5
 2016-11-10,      8711,     -43.4
 2016-11-10,      8754,     -43.3
 2016-11-10,      9040,     -43.9
 2016-11-10,     10041,     -47.7
 2016-11-10,     10250,     -48.5
 2016-11-10,     10382,     -48.9
 2016-11-10,     10629,       -47
 2016-11-10,     10770,     -45.9
 2016-11-10,     11002,     -46.6
 2016-11-10,     11720,     -48.7
 2016-11-10,     12597,     -50.7
 2016-11-10,     13186,       -49
 2016-11-10,     13352,     -48.5
 2016-11-10,     13437,       -49
 2016-11-10,     13610,     -49.9
 2016-11-10,     13828,     -51.8
 2016-11-10,     14287,     -55.8
 2016-11-10,     14432,     -57.1
 2016-11-10,     14929,     -57.8
 2016-11-10,     15139,     -58.1
 2016-11-10,     15247,     -55.9
 2016-11-10,     15524,     -57.4
 2016-11-10,     16180,     -60.9
 2016-11-10,     16261,     -61.5
 2016-11-10,     16764,     -60.7
 2016-11-10,     17069,     -60.2
 2016-11-10,     18288,     -58.3
 2016-11-10,     18410,     -58.1
 2016-11-11,       595,      11.6
 2016-11-11,       796,       8.8
 2016-11-11,      1004,         7
 2016-11-11,      1480,       4.3
 2016-11-11,      1490,       4.2
 2016-11-11,      1528,       3.8
 2016-11-11,      2120,      -1.5
 2016-11-11,      2315,      -2.5
 2016-11-11,      2641,      -4.6
 2016-11-11,      2727,      -5.1
 2016-11-11,      3034,      -7.1
 2016-11-11,      3101,      -7.6
 2016-11-11,      3397,      -9.7
 2016-11-11,      3696,     -11.7
 2016-11-11,      4082,     -14.3
 2016-11-11,      5058,     -20.9
 2016-11-11,      5141,     -20.5
 2016-11-11,      5169,     -20.5
 2016-11-11,      5570,     -22.5
 2016-11-11,      5599,     -22.6
 2016-11-11,      6243,     -25.1
 2016-11-11,      7162,     -32.4
 2016-11-11,      7180,     -32.5
 2016-11-11,      7540,     -35.3
 2016-11-11,      8389,     -41.3
 2016-11-11,      9150,     -47.7
 2016-11-11,      9283,     -48.7
 2016-11-11,     10279,     -54.9
 2016-11-11,     10330,     -54.9
 2016-11-11,     10355,       -55
 2016-11-11,     11464,     -60.3
 2016-11-11,     11709,     -59.8
 2016-11-11,     11740,     -59.7
 2016-11-11,     12724,     -56.8
 2016-11-11,     13220,     -55.3
 2016-11-11,     13550,     -55.1
 2016-11-11,     13678,     -55.3
 2016-11-11,     14034,     -55.8
 2016-11-11,     14864,     -56.9
 2016-11-11,     14916,     -56.7
 2016-11-11,     15076,       -56
 2016-11-11,     15352,     -54.8
 2016-11-11,     15466,     -54.3
 2016-11-11,     15582,     -54.9
 2016-11-11,     16130,     -57.5
 2016-11-11,     17069,       -60
 2016-11-11,     17381,     -60.9
 2016-11-11,     17678,       -61
 2016-11-11,     18370,     -61.3
 2016-11-11,     18898,     -60.6
 2016-11-11,     19202,     -60.3
 2016-11-11,     20422,     -58.8
 2016-11-11,     20480,     -58.7
 2016-11-11,     21187,     -61.3
 2016-11-11,     21336,     -60.9
 2016-11-11,     21641,     -60.1
 2016-11-11,     22860,       -57
 2016-11-11,     23165,     -56.2
 2016-11-11,     23660,     -54.9
 2016-11-12,       595,        11
 2016-11-12,       755,       8.6
 2016-11-12,       972,       6.6
 2016-11-12,      1073,       5.6
 2016-11-12,      1232,       8.4
 2016-11-12,      1355,       7.9
 2016-11-12,      1442,       7.6
 2016-11-12,      1452,       7.6
 2016-11-12,      1644,         6
 2016-11-12,      2053,       2.7
 2016-11-12,      2615,      -1.9
 2016-11-12,      2804,      -3.5
 2016-11-12,      2948,      -4.3
 2016-11-12,      3015,      -4.7
 2016-11-12,      3117,      -5.3
 2016-11-12,      3255,      -4.9
 2016-11-12,      3290,      -4.3
 2016-11-12,      3395,      -4.8
 2016-11-12,      3683,      -6.1
 2016-11-12,      4337,     -11.3
 2016-11-12,      5250,     -17.1
 2016-11-12,      5600,     -20.1
 2016-11-12,      5840,       -22
 2016-11-12,      5932,     -22.7
 2016-11-12,      6814,     -29.9
 2016-11-12,      7210,     -32.7
 2016-11-12,      7370,     -33.9
 2016-11-12,      7849,     -37.9
 2016-11-12,      7887,     -38.1
 2016-11-12,      9083,     -48.5
 2016-11-12,      9170,     -49.3
 2016-11-12,      9235,     -49.9
 2016-11-12,      9301,     -49.9
 2016-11-12,      9346,     -50.1
 2016-11-12,      9458,     -50.9
 2016-11-12,      9526,     -51.3
 2016-11-12,      9594,     -51.5
 2016-11-12,     10215,     -55.9
 2016-11-12,     10340,     -56.7
 2016-11-12,     10895,       -59
 2016-11-12,     11006,     -59.5
 2016-11-12,     11382,     -57.8
 2016-11-12,     11442,     -57.5
 2016-11-12,     11656,       -59
 2016-11-12,     11750,     -59.7
 2016-11-12,     11876,     -60.5
 2016-11-12,     12376,     -56.9
 2016-11-12,     12481,     -56.1
 2016-11-12,     13075,     -59.1
 2016-11-12,     13560,     -56.1
 2016-11-12,     13776,     -55.6
 2016-11-12,     14044,     -55.1
 2016-11-12,     14667,     -56.4
 2016-11-12,     15029,     -57.1
 2016-11-12,     15137,     -57.3
 2016-11-12,     15191,     -54.3
 2016-11-12,     15527,     -56.1
 2016-11-12,     15821,     -57.7
 2016-11-12,     16130,     -59.3
 2016-11-12,     16459,     -60.5
